Filename,Name,Flairtext,Abbreviated,Sheet,Row,Col,Index,Subsort,File,Division,Conference,Subconference,Conf,Confsort,Selectdisplay,Selectflair,Selectinline,Shortcutflair,Shortcutinline,Shortcutletter,Width,Height,Flair,Flair1,Flair2
beard,/r/CFB Emeritus Mod,/r/CFB Emeritus Mod,/r/CFB Emeritus Mod,l,2,1,1,1,Logos,Awards,Awards,Earned,Awards,2,TRUE,TRUE,TRUE,None,#l/beard,None,60,40,beard-sheetl-row02-col01,beard-sheetl-row02-col01,beard-2shtl-2rw02-2cl01
artist,/r/CFB Artist,/r/CFB Artist,/r/CFB Artist,l,2,2,1,1,Logos,Awards,Awards,Earned,Awards,3,TRUE,TRUE,TRUE,None,#l/artist,None,60,40,artist-sheetl-row02-col02,artist-sheetl-row02-col02,artist-2shtl-2rw02-2cl02
patron,/r/CFB Patron,/r/CFB Patron,/r/CFB Patron,l,2,3,1,1,Logos,Awards,Awards,Earned,Awards,4,TRUE,TRUE,TRUE,None,#l/patron,None,60,40,patron-sheetl-row02-col03,patron-sheetl-row02-col03,patron-2shtl-2rw02-2cl03
medal,/r/CFB Top Scorer,/r/CFB Top Scorer,/r/CFB Top Scorer,l,2,4,1,1,Logos,Awards,Awards,Earned,Awards,5,TRUE,TRUE,TRUE,None,#l/medal,None,60,40,medal-sheetl-row02-col04,medal-sheetl-row02-col04,medal-2shtl-2rw02-2cl04
contributor,/r/CFB Contributor,/r/CFB Contributor,/r/CFB Contributor,l,2,5,1,1,Logos,Awards,Awards,Earned,Awards,6,TRUE,TRUE,TRUE,None,#l/contributor,None,60,40,contributor-sheetl-row02-col05,contributor-sheetl-row02-col05,contributor-2shtl-2rw02-2cl05
tophat,/r/CFB Donor,/r/CFB Donor,/r/CFB Donor,l,2,6,1,1,Logos,Awards,Awards,Earned,Awards,7,TRUE,TRUE,TRUE,None,#l/tophat,None,60,40,tophat-sheetl-row02-col06,tophat-sheetl-row02-col06,tophat-2shtl-2rw02-2cl06
brick,/r/CFB Brickmason,/r/CFB Brickmason,/r/CFB Brickmason,l,2,7,1,1,Logos,Awards,Awards,Earned,Awards,8,TRUE,TRUE,TRUE,None,#l/brick,None,60,40,brick-sheetl-row02-col07,brick-sheetl-row02-col07,brick-2shtl-2rw02-2cl07
checkbox,/r/CFB Poll Veteran,/r/CFB Poll Veteran,/r/CFB Poll Veteran,l,2,8,1,1,Logos,Awards,Awards,Earned,Awards,9,TRUE,TRUE,TRUE,None,#l/checkbox,None,60,40,checkbox-sheetl-row02-col08,checkbox-sheetl-row02-col08,checkbox-2shtl-2rw02-2cl08
tv,/r/CFB Promoter,/r/CFB Promoter,/r/CFB Promoter,l,2,9,1,1,Logos,Awards,Awards,Earned,Awards,10,TRUE,TRUE,TRUE,None,#l/tv,None,60,40,tv-sheetl-row02-col09,tv-sheetl-row02-col09,tv-2shtl-2rw02-2cl09
bostoncollege,Boston College Eagles,Boston College Eagles,Boston College,1,2,1,2,1,D1,FBS,ACC,Atlantic,ACC,0,TRUE,TRUE,TRUE,bostoncollege,#f/bostoncollege,None,60,40,bostoncollege,bostoncollege-sheet1-row02-col01,bostoncollege-2sht1-2rw02-2cl01
clemson,Clemson Tigers,Clemson Tigers,Clemson,1,2,2,2,1,D1,FBS,ACC,Atlantic,ACC,0,TRUE,TRUE,TRUE,clemson,#f/clemson,None,60,40,clemson,clemson-sheet1-row02-col02,clemson-2sht1-2rw02-2cl02
duke,Duke Blue Devils,Duke Blue Devils,Duke,1,2,3,2,1,D1,FBS,ACC,Coastal,ACC,0,TRUE,TRUE,TRUE,duke,#f/duke,None,60,40,duke,duke-sheet1-row02-col03,duke-2sht1-2rw02-2cl03
floridastate,Florida State Seminoles,Florida State Seminoles,Florida State,1,2,4,2,1,D1,FBS,ACC,Atlantic,ACC,0,TRUE,TRUE,TRUE,floridastate,#f/floridastate,None,60,40,floridastate,floridastate-sheet1-row02-col04,floridastate-2sht1-2rw02-2cl04
georgiatech,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech,1,2,5,2,1,D1,FBS,ACC,Coastal,ACC,0,TRUE,TRUE,TRUE,georgiatech,#f/georgiatech,None,60,40,georgiatech,georgiatech-sheet1-row02-col05,georgiatech-2sht1-2rw02-2cl05
louisville,Louisville Cardinals,Louisville Cardinals,Louisville,1,2,6,2,1,D1,FBS,ACC,Atlantic,ACC,0,TRUE,TRUE,TRUE,louisville,#f/louisville,None,60,40,louisville,louisville-sheet1-row02-col06,louisville-2sht1-2rw02-2cl06
